表名 (Table Name),表说明,小节 (Module),字段名,类型,必填/范围,说明,计算方法/示例值
os_ontology,本体模型 — 设备台账,基础全表,device_id,string,是,设备唯一标识（对应 DCS Tag 前缀）,"""2216_LIC_50104"""
os_ontology,本体模型 — 设备台账,基础全表,device_type,string,是,设备类型,"""tank"""
os_ontology,本体模型 — 设备台账,基础全表,loop_type,string,是,回路类型：level / flow / pressure / temperature,"""level"""
os_ontology,本体模型 — 设备台账,基础全表,tank_volume_m3,float,,储罐体积（m³），液位回路专属,50.0
os_ontology,本体模型 — 设备台账,基础全表,tank_cross_section_m2,float,,储罐截面积（m²）,12.5
os_ontology,本体模型 — 设备台账,基础全表,valve_cv_max,float,,阀门最大流量系数 Cv,60.0
os_ontology,本体模型 — 设备台账,基础全表,valve_type,string,,阀门特性：linear / equal_percentage,"""equal_percentage"""
os_ontology,本体模型 — 设备台账,基础全表,plant,string,,所属装置,"""2216"""
os_ontology,本体模型 — 设备台账,基础全表,unit,string,,所属单元,"""蒸馏塔回流罐"""
os_ontology,本体模型 — 设备台账,基础全表,tag_name,string,,DCS 标签名,"""LIC_50104"""
os_ontology,本体模型 — 设备台账,基础全表,pv_range_min,float,,PV 量程下限,0.0
os_ontology,本体模型 — 设备台账,基础全表,pv_range_max,float,,PV 量程上限,100.0
os_ontology,本体模型 — 设备台账,基础全表,valve_action,string,,阀门动作方向：air_open / air_close,"""air_open"""
os_ontology,本体模型 — 设备台账,基础全表,valve_deadband,float,,阀门死区（%）,2.0
os_ontology,本体模型 — 设备台账,基础全表,valve_time_constant_s,float,,阀门时间常数（秒）,5.0
os_mechanism,机理模型 — 过程物理特性,物理规则,process_nature,string,是,过程性质：self_regulating（自衡）/ integrating（积分）,"""integrating"""
os_mechanism,机理模型 — 过程物理特性,物理规则,process_gain_sign,int,是,固有增益符号：+1 正作用 / -1 反作用,1
os_mechanism,机理模型 — 过程物理特性,物理规则,dead_time_dominant,bool,是,是否为大纯滞后系统,false
os_mechanism,机理模型 — 过程物理特性,物理规则,coupling_risk,string,,耦合风险：none / low / medium / high,"""medium"""
os_mechanism,机理模型 — 过程物理特性,物理规则,nonlinearity_type,string,,非线性类型：none / valve_saturation / valve_nonlinear / process_nonlinear,"""valve_saturation"""
os_mechanism,机理模型 — 过程物理特性,仿真模拟,preferred_simulation_model,string,是,首选仿真结构：FOPDT / SOPDT / FO_INTEGRATOR,"""FO_INTEGRATOR"""
os_mechanism,机理模型 — 过程物理特性,仿真模拟,allowed_simulation_models,string[],,允许的备选模型列表,"[""FO_INTEGRATOR"", ""INTEGRATOR"", ""FOPDT""]"
os_mechanism,机理模型 — 过程物理特性,仿真模拟,max_model_order,int,,最大允许建模阶数,1
os_mechanism,机理模型 — 过程物理特性,仿真模拟,typical_time_constant_range_s,float[2],,"典型时间常数范围（秒）[min, max]","[10.0, 3600.0]"
os_mechanism,机理模型 — 过程物理特性,仿真模拟,typical_dead_time_range_s,float[2],,"典型纯滞后范围（秒）[min, max]","[0.0, 120.0]"
